MYRUSD,SGDUSD,THBUSD,USDIDR
4.419041019468453,0.3761851583945928,3.3780262568479382,-4.079549108423929
4.419041019468453,0.3761851583945928,3.3780262568479382,-4.079549108423929
4.419041019468453,0.3761851583945928,3.3780262568479382,-4.079549108423929
4.367444846158945,-0.014675458120017217,3.198768037039447,-3.8159276509736744
4.204347474255883,-0.12812121969513,3.2791470352534935,-3.5437496512749327
4.064421729808827,-0.3571434688063934,3.117085895739192,-3.3159944664614867
3.8683133112469688,-0.5017521524569138,2.6177065892739266,-3.4629648005020752
3.902297422691714,-0.3964027836785517,2.593517238835024,-3.556943336339221
3.9362815341364676,-0.2910534149001895,2.5693278883961224,-3.650921872176365
3.970265645581232,-0.18570404612182737,2.5451385379573903,-3.744900408013511
4.061314838615173,-0.06062834091783173,2.655969345786545,-3.8168811624781593
4.2026885131135305,0.32090187802136005,3.0857523772717146,-3.8506579274762425
4.30719308155934,0.661481098325482,3.2176337625651623,-3.8172895230075152
4.35393521097049,0.6625021581292828,3.316229577815349,-3.9157707433679074
4.332394601126353,0.5896796700621072,3.332581451087065,-3.8742253053526854
4.310853991282225,0.5168571819949181,3.348933324358824,-3.8326798673374656
4.289313381438102,0.4440346939277424,3.3652851976306217,-3.791134429322243
4.286329971869666,0.4480516538492814,3.593400119947654,-3.65884748702385
4.220201329254355,0.3166788760396798,3.5229544721379993,-3.5449391326598723
4.169421872806479,0.5925169663325714,3.8549704364498654,-3.592808327329179
4.187504882002682,0.6142923472389272,3.8019188990775845,-3.6912837850990474
4.197715157751979,0.6568970880870816,3.7828514180708837,-3.694876239999603
4.207925433501295,0.6995018289352326,3.763783937064269,-3.698468694900164
4.218135709250607,0.7421065697833871,3.744716456057698,-3.7020611498007203
4.208414625972517,0.7503253834008363,3.6949228753904633,-3.6181458127801913
4.177879135557307,0.8251686747226649,3.7034946791259356,-3.886649834347327
4.080905690089812,0.39225707602596327,3.439304827102956,-3.5590187641207147
4.095923597400265,0.02027276296417913,3.1279456524656624,-3.5100161076663614
4.132921040715722,-0.01953873099533986,3.078446722036041,-3.51349348716218
4.169918484031186,-0.059350224954865534,3.0289477916066234,-3.5169708666579926
4.206915927346666,-0.09916171891438451,2.979448861177203,-3.520448246153811
4.239050480987435,0.23284125472895004,3.2917701931744743,-3.644805215514477
4.239050480987435,0.454176641439024,3.3477876468106933,-3.7086542754548524
4.2905043766052415,0.5695446570749825,3.453536058852831,-3.550896343368063
4.280423460247972,0.7860920123485062,3.592303753326345,-3.540164080886923
4.284278528263132,0.7650119286879095,3.657960902062811,-3.511088505122452
4.288133596278293,0.7439318450273129,3.7236180507992303,-3.4820129293579827
4.2919886642934735,0.7228517613667165,3.789275199535818,-3.452937353593512
4.247937232192796,0.8228057259772045,3.759601105078683,-3.4713171150490396
4.2582541024529155,0.8113478536845186,4.009036377729197,-3.540175278867503
4.261857624675048,0.9723258133074683,4.28676352494493,-3.683377711091964
4.236275493356954,0.7063208168041869,4.257156157664327,-3.696239199427977
4.213295352399469,0.6589982354003407,4.301819490939333,-3.6887660868427474
4.190315211441988,0.6116756539964978,4.346482824214341,-3.6812929742575196
4.167335070484507,0.5643530725926517,4.391146157489468,-3.6738198616722904
4.1972576536839945,0.6203028418505667,4.846983819196233,-3.976505367705048
4.248491881392212,0.7571621788626144,4.945369928379337,-3.9868069979637615
4.261288474043889,0.874547154445723,5.140485764348065,-3.912176697993486
4.239003601809565,0.8711865299491388,5.4062034543446025,-3.63932591265545
4.240822675501418,0.8012661466846398,5.380111707317374,-3.6515344493679
4.242641749193277,0.7313457634201542,5.354019960290229,-3.66374298608035
4.244460822885148,0.6614253801556552,5.327928213263166,-3.6759515227928
4.297632557188491,0.5960231571689871,5.041933909214666,-3.6101779261899067
4.261848004322355,0.714493969215771,4.8712615611411785,-3.500668078349467
4.17535451922804,0.41010878230227055,4.861726370343583,-3.519837876542665
4.037858576649617,-0.04926330574193646,4.6340812948887855,-3.3182946523279604
4.036466146646123,-0.16045196841215523,4.519632456457412,-3.413678414069273
4.0350737166426285,-0.2716406310823874,4.4051836180261645,-3.5090621758105867
4.033681286639146,-0.38282929375260627,4.290734779594953,-3.604445937551899
4.087660674440072,-0.13378551113993203,4.388051839512084,-3.545260059254201
4.127864845310351,-0.28303444720923154,4.312669325580726,-3.392828992376711
4.134714702421377,-0.15476361314353712,4.675942932389052,-3.4822323998745404
4.258353900290871,-0.32304010735126504,4.477477877058015,-3.5615135097189756
4.286288135022784,-0.4400160149912607,4.3678263012680265,-3.525068644228225
4.314222369754692,-0.5569919226312565,4.258174725478082,-3.4886237787374768
4.342156604486631,-0.6739678302712525,4.1485231496882555,-3.4521789132467267
